algo,k,m_bits,p_error,runs,ok_rate,corrected_avg,uncorrect_avg
CRC32,0,64,0.0,100,1.0,0.0,0.0
HAMMING,4,64,0.0,100,1.0,0.0,0.0
HAMMING,8,64,0.0,100,1.0,0.0,0.0
HAMMING,11,64,0.0,100,1.0,0.0,0.0
CRC32,0,64,0.001,100,0.84,0.0,0.0
HAMMING,4,64,0.001,100,1.0,0.08,0.0
HAMMING,8,64,0.001,100,1.0,0.05,0.0
HAMMING,11,64,0.001,100,1.0,0.16,0.0
CRC32,0,64,0.005,100,0.64,0.0,0.0
HAMMING,4,64,0.005,100,1.0,0.51,0.0
HAMMING,8,64,0.005,100,0.98,0.47,0.01
HAMMING,11,64,0.005,100,0.98,0.45,0.0
CRC32,0,64,0.01,100,0.4,0.0,0.0
HAMMING,4,64,0.01,100,0.98,1.1,0.0
HAMMING,8,64,0.01,100,0.98,0.81,0.0
HAMMING,11,64,0.01,100,0.93,0.79,0.0
CRC32,0,64,0.02,100,0.19,0.0,0.0
HAMMING,4,64,0.02,100,0.87,1.97,0.0
HAMMING,8,64,0.02,100,0.83,1.58,0.02
HAMMING,11,64,0.02,100,0.82,1.63,0.0
CRC32,0,256,0.0,100,1.0,0.0,0.0
HAMMING,4,256,0.0,100,1.0,0.0,0.0
HAMMING,8,256,0.0,100,1.0,0.0,0.0
HAMMING,11,256,0.0,100,1.0,0.0,0.0
CRC32,0,256,0.001,100,0.79,0.0,0.0
HAMMING,4,256,0.001,100,1.0,0.38,0.0
HAMMING,8,256,0.001,100,1.0,0.41,0.0
HAMMING,11,256,0.001,100,1.0,0.45,0.0
CRC32,0,256,0.005,100,0.27,0.0,0.0
HAMMING,4,256,0.005,100,0.96,2.39,0.0
HAMMING,8,256,0.005,100,0.96,1.94,0.01
HAMMING,11,256,0.005,100,0.92,1.66,0.0
CRC32,0,256,0.01,100,0.06,0.0,0.0
HAMMING,4,256,0.01,100,0.85,4.5,0.0
HAMMING,8,256,0.01,100,0.85,3.8,0.01
HAMMING,11,256,0.01,100,0.77,3.44,0.0
CRC32,0,256,0.02,100,0.0,0.0,0.0
HAMMING,4,256,0.02,100,0.59,8.29,0.0
HAMMING,8,256,0.02,100,0.48,6.51,0.21
HAMMING,11,256,0.02,100,0.45,6.2,0.0
